Order_ID,Customer_Age,Category,Revenue,Quantity,Purchase_Month
ORD100108,65,Books,424.08,4,Apr
ORD100109,50,Books,370.01,3,May
ORD100110,45,Sports,154.87,2,Feb
ORD100111,19,Sports,98.62,1,Aug
ORD100112,25,Books,455.09,4,May
ORD100113,49,Electronics,310.03,1,Apr
ORD100114,61,Electronics,279.75,4,Aug
ORD100115,53,Clothing,199.57,3,Jan
ORD100116,44,Books,426.9,1,Feb
ORD100117,49,Electronics,488.16,5,Dec
ORD100118,18,Clothing,431.22,5,Dec
ORD100119,23,Clothing,327.1,1,Mar
ORD100120,49,Clothing,458.36,1,Dec
ORD100121,24,Electronics,145.47,1,Jun
ORD100122,25,Home & Kitchen,443.73,1,Jan
ORD100123,51,Sports,253.58,3,Feb
ORD100124,18,Home & Kitchen,210.99,2,Jan
ORD100125,43,Books,392.2,1,Aug
ORD100126,45,Home & Kitchen,338.17,4,Jan
ORD100127,52,Books,298.93,1,Sep
ORD100128,54,Sports,234.49,3,Aug
ORD100129,28,Electronics,445.82,3,Mar
ORD100130,42,Clothing,357.93,5,May
ORD100131,58,Books,178.07,1,Nov
ORD100132,19,Books,381.06,4,Jul
ORD100133,50,Home & Kitchen,327.64,4,Feb
ORD100134,37,Clothing,358.89,3,Dec
ORD100135,46,Clothing,96.71,3,Apr
ORD100136,64,Sports,455.41,5,Nov
ORD100137,20,Books,162.99,2,Jan
ORD100138,27,Books,400.03,1,Jun
ORD100139,47,Clothing,403.73,2,Apr
ORD100140,30,Home & Kitchen,403.17,4,Aug
ORD100141,61,Sports,396.84,3,Apr
ORD100142,64,Electronics,405.32,4,Jul
ORD100143,46,Sports,259.08,5,Mar
ORD100144,29,Clothing,388.74,1,Sep
ORD100145,52,Sports,80.76,4,Aug
ORD100146,22,Clothing,176.73,2,Feb
ORD100147,46,Electronics,47.97,1,Dec
ORD100148,26,Electronics,440.29,5,Aug
ORD100149,65,Electronics,311.4,1,Feb
ORD100150,19,Electronics,35.87,3,Mar
ORD100151,55,Home & Kitchen,205.74,1,Jan
ORD100152,23,Home & Kitchen,111.95,2,Mar
ORD100153,25,Home & Kitchen,323.78,1,Jun
ORD100154,65,Sports,369.08,4,Sep
ORD100155,27,Sports,372.93,5,Oct
ORD100156,65,Electronics,241.94,4,Mar
ORD100157,61,Clothing,437.13,1,Aug
ORD100158,50,Books,472.93,3,Sep
ORD100159,49,Home & Kitchen,346.82,1,Dec
ORD100160,56,Electronics,200.78,5,Jul
ORD100161,52,Sports,252.01,4,Nov
ORD100162,18,Sports,339.54,4,May
ORD100163,61,Sports,394.49,5,Oct
ORD100164,44,Home & Kitchen,147.81,4,Nov
ORD100165,42,Books,379.33,3,Sep
ORD100166,53,Sports,205.35,3,Mar
ORD100167,20,Home & Kitchen,218.93,4,May
ORD100168,58,Books,94.93,3,Oct
ORD100169,34,Electronics,140.73,1,Jan
ORD100170,49,Home & Kitchen,426.78,2,Mar
ORD100171,28,Sports,482.08,1,May
ORD100172,33,Home & Kitchen,238.62,1,Jan
ORD100173,60,Clothing,118.88,2,Apr
ORD100174,55,Home & Kitchen,278.43,3,Nov
ORD100175,37,Sports,357.67,3,Dec
ORD100176,35,Sports,43.8,4,May
ORD100177,61,Sports,443.21,2,Aug
ORD100178,58,Sports,88.86,2,Dec
ORD100179,55,Sports,34.83,5,Mar
ORD100180,39,Home & Kitchen,68.15,1,Mar
ORD100181,59,Electronics,404.43,3,Feb
ORD100182,47,Home & Kitchen,256.18,2,Nov
ORD100183,54,Books,467.94,5,Nov
ORD100184,32,Clothing,48.26,3,May
ORD100185,48,Sports,35.38,4,May
ORD100186,35,Electronics,403.7,1,Mar
ORD100187,64,Sports,254.86,5,Sep
ORD100188,63,Electronics,415.36,1,Apr
ORD100189,31,Home & Kitchen,399.82,5,Oct
ORD100190,54,Electronics,228.99,4,Oct
ORD100191,40,Clothing,272.42,2,Jan
ORD100192,29,Clothing,426.99,4,Jul
ORD100193,22,Books,74.16,1,Apr
ORD100194,47,Home & Kitchen,167.73,5,Jun
ORD100195,35,Clothing,231.08,4,Dec
ORD100196,19,Clothing,326.63,2,Feb
ORD100197,55,Home & Kitchen,398.21,5,Apr
ORD100198,40,Home & Kitchen,34.51,4,May
ORD100199,32,Books,80.81,4,Feb
ORD100200,36,Electronics,78.35,4,Feb
ORD100201,57,Clothing,293.03,4,Mar
ORD100202,39,Home & Kitchen,318.27,1,Feb
ORD100203,18,Books,211.91,2,Apr
ORD100204,44,Electronics,412.05,3,Oct
ORD100205,19,Home & Kitchen,376.65,2,Apr
ORD100206,61,Sports,289.86,3,Sep
ORD100207,41,Electronics,106.47,2,May
ORD100208,38,Home & Kitchen,134.98,1,Mar
ORD100209,53,Books,67.55,1,Feb
ORD100210,25,Sports,82.78,2,Apr
ORD100211,42,Clothing,56.96,5,Oct
ORD100212,48,Home & Kitchen,14.49,5,Mar
ORD100213,34,Electronics,290.18,5,Dec
ORD100214,45,Clothing,377.3,5,Feb
ORD100215,34,Books,274.53,2,Aug
ORD100216,43,Books,472.06,1,Dec
ORD100217,44,Sports,136.38,2,Feb
ORD100218,53,Clothing,413.12,2,Jun
ORD100219,20,Electronics,61.05,1,Nov
ORD100220,29,Sports,210.92,3,May
ORD100221,22,Sports,118.16,5,Dec
ORD100222,29,Home & Kitchen,288.8,1,Dec
ORD100223,27,Clothing,148.86,4,Jul
ORD100224,43,Home & Kitchen,32.03,5,Dec
ORD100225,27,Home & Kitchen,95.48,3,Mar
ORD100226,62,Clothing,95.47,5,Mar
ORD100227,26,Electronics,59.52,1,May
ORD100228,31,Sports,383.13,5,Aug
ORD100229,39,Clothing,466.04,4,Jul
ORD100230,56,Electronics,459.56,1,Feb
ORD100231,59,Home & Kitchen,370.26,3,May
ORD100232,24,Sports,305.52,1,Dec
ORD100233,20,Sports,289.08,1,Apr
ORD100234,46,Electronics,178.56,4,Oct
ORD100235,51,Books,387.13,5,Apr
ORD100236,44,Home & Kitchen,327.43,5,Sep
ORD100237,20,Home & Kitchen,350.27,2,Nov
ORD100238,59,Clothing,88.59,1,Apr
ORD100239,50,Electronics,327.56,5,May
ORD100240,62,Books,148.83,3,Aug
ORD100241,55,Books,255.4,5,Apr
ORD100242,58,Sports,14.48,2,Mar
ORD100243,51,Clothing,330.35,1,Aug
ORD100244,46,Clothing,325.72,1,Nov
ORD100245,57,Electronics,379.54,5,May
ORD100246,65,Sports,481.0,1,Jul
ORD100247,46,Electronics,371.66,1,Aug
ORD100248,59,Books,455.45,3,Mar
ORD100249,45,Home & Kitchen,344.6,1,Jun
ORD100250,61,Sports,74.08,1,Mar
ORD100251,57,Electronics,433.44,4,Jan
ORD100252,58,Books,152.17,3,Jul
ORD100253,32,Clothing,105.23,5,Nov
ORD100254,53,Books,239.1,3,May
ORD100255,37,Electronics,412.02,2,Dec
ORD100256,35,Electronics,143.84,5,Mar
ORD100257,38,Sports,140.88,1,Mar
ORD100258,41,Home & Kitchen,189.29,3,Jan
ORD100259,44,Electronics,88.36,3,Jan
ORD100260,35,Electronics,358.52,2,Jul
ORD100261,21,Books,37.95,5,Sep
ORD100262,54,Electronics,204.51,1,Apr
ORD100263,39,Home & Kitchen,191.44,1,Jun
ORD100264,58,Books,253.63,2,May
ORD100265,56,Books,389.52,4,Aug
ORD100266,27,Electronics,34.16,3,Aug
ORD100267,64,Electronics,360.44,4,Jun
ORD100268,24,Clothing,468.49,5,Jun
ORD100269,40,Home & Kitchen,127.07,4,Jul
ORD100270,36,Books,331.48,2,Dec
ORD100271,29,Electronics,469.63,2,Jun
ORD100272,52,Electronics,142.28,5,Jul
ORD100273,56,Books,324.1,1,Jan
ORD100274,20,Home & Kitchen,97.2,5,Jan
ORD100275,52,Clothing,45.76,2,Jan
ORD100276,34,Clothing,307.62,4,Jul
ORD100277,52,Home & Kitchen,248.63,4,Oct
ORD100278,34,Clothing,39.08,4,Jan
ORD100279,38,Home & Kitchen,18.38,3,Feb
ORD100280,27,Sports,248.1,3,Aug
ORD100281,42,Home & Kitchen,456.03,3,Mar
ORD100282,65,Home & Kitchen,44.08,1,Aug
ORD100283,34,Clothing,324.07,3,Mar
ORD100284,40,Home & Kitchen,35.5,4,Jan
ORD100285,62,Home & Kitchen,318.24,5,Mar
ORD100286,35,Clothing,459.38,3,Mar
ORD100287,48,Home & Kitchen,399.99,5,Mar
ORD100288,22,Home & Kitchen,341.94,4,Feb
ORD100289,45,Clothing,100.52,3,Aug
ORD100290,38,Home & Kitchen,430.11,5,Jan
ORD100291,41,Electronics,335.9,2,Aug
ORD100292,36,Books,443.26,3,Sep
ORD100293,59,Clothing,468.91,3,Jun
ORD100294,35,Sports,444.71,4,Jun
ORD100295,34,Electronics,417.62,5,Jun
ORD100296,49,Electronics,201.88,4,Feb
ORD100297,57,Clothing,217.05,2,Jun
ORD100298,28,Clothing,211.41,4,Apr
ORD100299,35,Home & Kitchen,356.78,1,Jun
ORD100300,44,Sports,37.66,1,Sep
ORD100301,26,Books,28.13,2,Mar
ORD100302,33,Sports,186.08,3,Nov
ORD100303,20,Sports,374.06,4,Aug
ORD100304,61,Books,480.57,2,Sep
ORD100305,62,Books,63.07,4,Feb
ORD100306,37,Books,481.84,3,Apr
ORD100307,47,Books,467.21,2,Jun
ORD100308,20,Clothing,288.56,1,May
ORD100309,36,Clothing,369.52,3,Oct
ORD100310,45,Home & Kitchen,151.46,4,Jun
ORD100311,49,Home & Kitchen,327.4,4,Jun
ORD100312,60,Sports,381.71,3,Jun
ORD100313,20,Electronics,251.28,2,Jul
ORD100314,41,Home & Kitchen,338.84,5,Dec
ORD100315,21,Books,406.55,3,Aug
ORD100316,36,Books,432.63,4,May
ORD100317,49,Books,406.57,5,Feb
ORD100318,51,Sports,278.53,2,Feb
ORD100319,42,Home & Kitchen,363.67,4,Aug
ORD100320,45,Sports,381.71,5,Sep
ORD100321,46,Clothing,189.88,5,Mar
ORD100322,65,Home & Kitchen,244.63,1,May
ORD100323,30,Books,479.52,2,Mar
ORD100324,31,Sports,444.78,3,May
ORD100325,19,Home & Kitchen,42.69,5,Aug
ORD100326,49,Sports,333.85,5,Jun
ORD100327,59,Electronics,69.47,4,Apr
ORD100328,20,Electronics,229.54,4,Jan
ORD100329,46,Electronics,233.95,3,Aug
ORD100330,26,Home & Kitchen,160.99,3,Apr
ORD100331,20,Books,318.5,3,Aug
ORD100332,43,Home & Kitchen,323.59,4,May
ORD100333,48,Home & Kitchen,441.66,2,Sep
ORD100334,18,Books,407.73,3,Jul
ORD100335,59,Home & Kitchen,245.07,2,Feb
ORD100336,49,Home & Kitchen,96.67,1,Feb
ORD100337,31,Home & Kitchen,441.16,2,Aug
ORD100338,58,Electronics,129.7,2,Jun
ORD100339,55,Clothing,272.23,3,May
ORD100340,22,Home & Kitchen,43.92,3,Nov
ORD100341,51,Clothing,488.36,2,Nov
ORD100342,24,Sports,365.47,2,Apr
ORD100343,34,Electronics,270.08,3,Aug
ORD100344,64,Home & Kitchen,365.26,3,Dec
ORD100345,32,Clothing,436.82,3,May
ORD100346,38,Books,450.39,1,Aug
ORD100347,58,Books,18.56,1,Aug
ORD100348,29,Books,330.18,4,Nov
ORD100349,24,Sports,141.45,1,Jan
ORD100350,38,Sports,191.89,5,Mar
ORD100351,50,Books,476.94,4,Jun
ORD100352,20,Clothing,458.51,4,Mar
ORD100353,33,Electronics,479.57,1,Nov
ORD100354,47,Books,57.49,3,Nov
ORD100355,32,Sports,263.18,2,Feb
ORD100356,20,Home & Kitchen,426.21,2,Feb
ORD100357,39,Sports,62.1,4,Feb
ORD100358,65,Home & Kitchen,21.66,4,Sep
ORD100359,51,Sports,66.39,4,Oct
ORD100360,46,Books,42.9,1,Sep
ORD100361,53,Sports,290.83,5,Aug
ORD100362,38,Sports,470.54,3,Nov
ORD100363,43,Electronics,150.16,3,Oct
ORD100364,61,Clothing,246.45,2,Nov
ORD100365,64,Home & Kitchen,381.47,5,Nov
ORD100366,39,Electronics,339.81,4,Nov
ORD100367,60,Clothing,80.37,3,May
ORD100368,63,Home & Kitchen,453.97,3,Nov
ORD100369,58,Books,382.22,3,Feb
ORD100370,38,Sports,25.17,1,Jan
ORD100371,27,Clothing,112.96,5,Apr
ORD100372,64,Books,405.35,3,Apr
ORD100373,34,Clothing,87.54,5,Dec
ORD100374,25,Home & Kitchen,263.23,5,Aug
ORD100375,63,Electronics,237.06,4,Feb
ORD100376,59,Electronics,237.28,5,Dec
ORD100377,56,Books,404.02,5,Mar
ORD100378,45,Home & Kitchen,78.15,3,May
ORD100379,43,Electronics,171.36,2,Oct
ORD100380,56,Electronics,324.75,5,Sep
ORD100381,34,Books,239.53,5,Feb
ORD100382,19,Clothing,488.09,1,Nov
ORD100383,53,Books,199.76,5,May
ORD100384,42,Home & Kitchen,447.61,5,Nov
ORD100385,24,Clothing,175.12,1,Jan
ORD100386,37,Home & Kitchen,179.26,2,Mar
ORD100387,23,Electronics,229.16,3,Mar
ORD100388,28,Books,419.2,3,Jun
ORD100389,24,Books,394.27,2,Jul
ORD100390,64,Home & Kitchen,64.83,1,Jul
ORD100391,22,Clothing,17.38,5,Sep
ORD100392,32,Home & Kitchen,70.69,1,Jun
ORD100393,48,Books,47.5,2,Jan
ORD100394,50,Electronics,314.79,1,Apr
ORD100395,61,Sports,402.19,4,Feb
ORD100396,45,Electronics,274.86,4,Sep
ORD100397,30,Electronics,211.33,2,Aug
ORD100398,63,Sports,389.84,5,Feb
ORD100399,59,Sports,372.26,3,Aug
ORD100400,24,Electronics,152.71,5,Jun
ORD100401,26,Electronics,307.22,3,Oct
ORD100402,55,Clothing,253.97,4,Nov
ORD100403,59,Home & Kitchen,380.34,3,Jan
ORD100404,63,Sports,85.69,3,Jul
ORD100405,37,Electronics,315.01,2,Nov
ORD100406,19,Electronics,405.97,2,Oct
ORD100407,24,Books,83.07,5,Mar
ORD100408,22,Books,446.68,5,May
ORD100409,25,Books,313.82,2,Jul
ORD100410,61,Books,424.41,4,Jan
ORD100411,41,Home & Kitchen,271.49,2,Feb
ORD100412,49,Home & Kitchen,336.95,1,Jun
ORD100413,34,Books,389.2,2,Feb
ORD100414,42,Electronics,350.98,3,Dec
ORD100415,23,Books,282.42,5,Sep
ORD100416,42,Clothing,31.78,4,Mar
ORD100417,25,Clothing,16.85,3,Sep
ORD100418,21,Sports,206.82,3,Nov
ORD100419,62,Books,489.94,1,Nov
ORD100420,21,Electronics,260.64,4,Mar
ORD100421,25,Electronics,150.83,3,Jul
ORD100422,47,Clothing,356.05,3,Jun
ORD100423,64,Books,76.94,5,Apr
ORD100424,22,Sports,426.64,2,Jul
ORD100425,51,Clothing,452.1,3,Dec
ORD100426,44,Sports,316.45,1,Feb
ORD100427,24,Sports,112.46,4,Feb
ORD100428,43,Sports,277.61,4,Jun
ORD100429,38,Electronics,156.43,2,May
ORD100430,23,Electronics,38.68,3,Apr
ORD100431,53,Books,12.2,2,Nov
ORD100432,57,Clothing,45.99,1,Jan
ORD100433,62,Electronics,290.85,1,Oct
ORD100434,58,Electronics,391.97,5,Apr
ORD100435,51,Books,339.04,5,Jan
ORD100436,21,Sports,211.0,5,Mar
ORD100437,42,Sports,161.09,3,May
ORD100438,60,Books,303.57,3,Nov
ORD100439,45,Home & Kitchen,216.06,4,Jun
ORD100440,51,Electronics,198.42,1,Apr
ORD100441,20,Clothing,343.17,3,Sep
ORD100442,23,Home & Kitchen,21.36,5,Oct
ORD100443,60,Clothing,244.69,3,Mar
ORD100444,25,Books,430.35,3,Mar
ORD100445,51,Books,11.9,2,Jul
ORD100446,63,Electronics,458.25,1,Sep
ORD100447,31,Sports,418.67,2,Feb
ORD100448,48,Clothing,440.13,2,Jan
ORD100449,58,Sports,97.46,3,Sep
ORD100450,57,Electronics,495.3,3,Nov
ORD100451,61,Electronics,395.08,4,Nov
ORD100452,22,Electronics,413.59,3,Jan
ORD100453,44,Sports,158.25,4,Oct
ORD100454,63,Books,396.17,4,Nov
ORD100455,29,Home & Kitchen,485.6,2,May
ORD100456,58,Books,247.09,1,Jun
ORD100457,63,Books,157.58,4,Jul
ORD100458,39,Books,151.42,1,Aug
ORD100459,39,Clothing,76.74,1,Jul
ORD100460,42,Electronics,42.66,5,Jan
ORD100461,23,Books,202.02,3,Jun
ORD100462,45,Home & Kitchen,226.87,2,Jul
ORD100463,34,Clothing,40.01,4,May
ORD100464,61,Electronics,268.63,4,Jul
ORD100465,58,Clothing,197.88,1,Feb
ORD100466,33,Sports,150.36,3,Aug
ORD100467,25,Books,373.78,5,Sep
ORD100468,38,Home & Kitchen,178.0,2,Jun
ORD100469,56,Sports,201.39,5,Nov
ORD100470,34,Electronics,306.99,1,Dec
ORD100471,54,Clothing,405.79,2,Sep
ORD100472,54,Home & Kitchen,10.99,4,Dec
ORD100473,64,Home & Kitchen,246.12,3,Jul
ORD100474,64,Home & Kitchen,418.92,2,Jan
ORD100475,46,Home & Kitchen,258.37,1,Nov
ORD100476,55,Sports,61.48,2,Aug
ORD100477,42,Books,436.53,2,Aug
ORD100478,29,Electronics,379.15,1,Feb
ORD100479,21,Sports,185.89,2,Apr
ORD100480,58,Clothing,229.59,2,Apr
ORD100481,46,Sports,383.61,3,Feb
ORD100482,37,Electronics,433.72,1,May
ORD100483,53,Home & Kitchen,107.75,2,Jul
ORD100484,54,Home & Kitchen,240.2,4,Sep
ORD100485,38,Books,318.23,3,Jun
ORD100486,38,Home & Kitchen,195.44,2,May
ORD100487,56,Clothing,68.53,2,Jul
ORD100488,51,Books,94.23,2,Jan
ORD100489,28,Sports,43.67,5,Jan
ORD100490,50,Home & Kitchen,285.71,2,Feb
ORD100491,54,Home & Kitchen,148.78,3,Mar
ORD100492,52,Home & Kitchen,84.96,5,Jul
ORD100493,45,Sports,433.44,3,Feb
ORD100494,51,Home & Kitchen,474.64,1,May
ORD100495,23,Clothing,362.62,2,Jun
ORD100496,64,Sports,402.92,2,May
ORD100497,64,Books,250.12,5,Feb
ORD100498,26,Sports,41.98,3,Oct
ORD100499,22,Clothing,156.12,5,Jan
ORD100500,29,Sports,98.2,3,Apr
ORD100501,52,Clothing,319.9,5,Dec
ORD100502,36,Clothing,215.28,2,Aug
ORD100503,41,Clothing,414.29,4,May
ORD100504,35,Home & Kitchen,48.34,3,Jan
ORD100505,46,Sports,448.43,2,Mar
ORD100506,46,Sports,38.77,2,Dec
ORD100507,56,Clothing,31.1,2,Sep
ORD100508,35,Home & Kitchen,53.24,1,Dec
ORD100509,25,Books,307.96,5,Nov
ORD100510,40,Books,319.75,2,Dec
ORD100511,20,Home & Kitchen,226.07,4,Jun
ORD100512,55,Electronics,292.56,5,Aug
ORD100513,61,Home & Kitchen,486.62,4,Sep
ORD100514,35,Home & Kitchen,205.21,5,Feb
ORD100515,39,Electronics,410.26,2,Mar
ORD100516,55,Clothing,19.25,1,Aug
ORD100517,26,Books,13.49,4,Sep
ORD100518,50,Sports,317.43,3,Feb
ORD100519,64,Books,465.7,3,May
ORD100520,54,Sports,149.91,4,Jan
ORD100521,54,Clothing,340.25,5,Jul
ORD100522,33,Clothing,364.51,4,Dec
ORD100523,33,Home & Kitchen,87.31,4,Jan
ORD100524,59,Electronics,447.79,3,May
ORD100525,55,Sports,420.8,5,Apr
ORD100526,26,Books,68.13,4,Sep
ORD100527,20,Sports,113.36,3,May
ORD100528,48,Books,321.87,5,Sep
ORD100529,63,Electronics,175.33,3,Jan
ORD100530,28,Books,477.48,5,Jan
ORD100531,36,Clothing,153.33,5,Feb
ORD100532,53,Electronics,428.19,2,Mar
ORD100533,25,Electronics,368.49,1,Feb
ORD100534,50,Electronics,327.39,5,May
ORD100535,39,Sports,355.36,4,Jun
ORD100536,28,Sports,40.55,4,Jan
ORD100537,50,Sports,225.72,1,Jan
ORD100538,39,Electronics,419.3,3,Nov
ORD100539,43,Home & Kitchen,223.29,2,Dec
ORD100540,49,Electronics,480.86,1,Dec
ORD100541,41,Books,129.91,1,Dec
ORD100542,30,Electronics,219.52,5,Dec
ORD100543,31,Books,316.39,3,Jan
ORD100544,60,Electronics,134.17,2,Jan
ORD100545,51,Books,17.05,5,Sep
ORD100546,28,Sports,464.58,2,Dec
ORD100547,54,Books,109.94,5,Aug
ORD100548,51,Clothing,380.49,3,Jul
ORD100549,20,Electronics,264.76,1,Jan
ORD100550,63,Electronics,305.71,4,Sep
ORD100551,26,Clothing,336.96,2,Jul
ORD100552,22,Clothing,65.85,1,Jul
ORD100553,47,Home & Kitchen,253.56,1,Jun
ORD100554,28,Books,451.3,3,Oct
ORD100555,44,Electronics,383.63,5,Dec
ORD100556,31,Electronics,183.64,3,Sep
ORD100557,20,Electronics,216.52,4,May
ORD100558,21,Clothing,295.46,1,Feb
ORD100559,25,Books,467.0,3,Oct
ORD100560,54,Electronics,233.17,4,Dec
ORD100561,43,Clothing,194.29,2,Sep
ORD100562,23,Electronics,157.51,3,Mar
ORD100563,49,Sports,170.25,1,Mar
ORD100564,44,Electronics,225.32,4,Aug
ORD100565,29,Clothing,216.81,1,Mar
ORD100566,49,Clothing,260.55,4,Jan
ORD100567,59,Sports,70.87,1,Oct
ORD100568,63,Books,37.54,3,Apr
ORD100569,45,Electronics,85.02,1,Jan
ORD100570,56,Electronics,64.44,5,Aug
ORD100571,63,Electronics,320.97,1,Sep
ORD100572,37,Home & Kitchen,318.03,3,Oct
ORD100573,28,Home & Kitchen,464.1,3,Oct
ORD100574,56,Home & Kitchen,480.3,1,May
ORD100575,41,Electronics,375.15,4,May
ORD100576,50,Electronics,311.38,3,Dec
ORD100577,56,Electronics,253.94,1,Jan
ORD100578,56,Electronics,214.1,2,Feb
ORD100579,54,Sports,350.57,4,Nov
ORD100580,51,Home & Kitchen,148.55,2,Aug
ORD100581,29,Clothing,474.54,4,Jul
ORD100582,30,Home & Kitchen,188.91,5,Dec
ORD100583,52,Home & Kitchen,119.32,3,Feb
ORD100584,42,Clothing,304.08,2,Feb
ORD100585,64,Sports,168.26,5,Sep
ORD100586,57,Books,201.2,1,Feb
ORD100587,55,Books,336.22,3,Oct
ORD100588,43,Electronics,236.6,1,Oct
ORD100589,46,Electronics,24.82,2,Mar
ORD100590,61,Sports,421.58,2,Feb
ORD100591,62,Home & Kitchen,294.62,3,Sep
ORD100592,50,Sports,204.48,3,Nov
ORD100593,25,Electronics,363.13,1,Apr
ORD100594,41,Clothing,387.35,1,Jun
ORD100595,32,Electronics,85.63,3,Jan
ORD100596,23,Sports,201.49,5,May
ORD100597,21,Electronics,257.98,1,May
ORD100598,48,Home & Kitchen,411.81,4,Aug
ORD100599,48,Home & Kitchen,226.2,2,Dec
ORD100600,45,Home & Kitchen,74.95,4,Sep
ORD100601,50,Sports,24.88,2,Oct
ORD100602,34,Sports,435.13,5,Sep
